case_id,risk_type,pair_id,condition,split,expected_rollback,semantic_risk,generated_rollback,target_present,logit_lens_score,dense_jlens_score,jvp_lens_score,linear_probe_score,generated_validator_decision,generated_validator_hits
early_spoiler_002_target_present_concept_absent,early_spoiler,early_spoiler_002,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-4.23410650459726,-71.22844696044922,commit,
early_spoiler_002_concept_absent_target_absent,early_spoiler,early_spoiler_002,concept_absent_target_absent,train,0,0,0,0,-5.713732805509369,-3.367295829986474,-7.887208585813932,-85.78679656982422,commit,
early_spoiler_003_concept_target_present,early_spoiler,early_spoiler_003,concept_target_present,val,1,1,1,1,-5.267858159063328,-2.4849066497880004,-6.699500340161678,78.02271270751953,rollback,replaced the ledger
early_spoiler_003_concept_present_target_absent,early_spoiler,early_spoiler_003,concept_present_target_absent,val,1,1,1,0,-5.44673737166631,-3.9318256327243257,-8.400884069015854,32.31962203979492,rollback,replaced the ledger
early_spoiler_003_target_present_concept_absent,early_spoiler,early_spoiler_003,target_present_concept_absent,val,0,0,0,1,-2.0794415416798357,-0.0,-8.289037098278483,-80.00000762939453,commit,
early_spoiler_003_concept_absent_target_absent,early_spoiler,early_spoiler_003,concept_absent_target_absent,val,0,0,0,0,-5.717027701406222,-3.332204510175204,-7.358830898342354,-96.11152648925781,commit,
early_spoiler_004_concept_target_present,early_spoiler,early_spoiler_004,concept_target_present,train,1,1,1,1,-5.267858159063328,-2.995732273553991,-8.508959386489133,56.97748947143555,rollback,erased the message
early_spoiler_004_concept_present_target_absent,early_spoiler,early_spoiler_004,concept_present_target_absent,train,1,1,1,0,-5.407171771460119,-2.772588722239781,-7.915348169263078,15.783699989318848,rollback,erased the message
early_spoiler_004_target_present_concept_absent,early_spoiler,early_spoiler_004,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-1.6094379124341003,-75.89066314697266,commit,
early_spoiler_004_concept_absent_target_absent,early_spoiler,early_spoiler_004,concept_absent_target_absent,train,0,0,0,0,-5.765191102784844,-2.4849066497880004,-7.714677473800927,-98.01740264892578,commit,
early_spoiler_005_concept_target_present,early_spoiler,early_spoiler_005,concept_target_present,train,1,1,1,1,-5.25227342804663,-0.6931471805599453,-6.641182169740591,73.97343444824219,rollback,planted the token
early_spoiler_005_concept_present_target_absent,early_spoiler,early_spoiler_005,concept_present_target_absent,train,1,1,1,0,-5.41610040220442,-2.4849066497880004,-7.241366283322318,26.438556671142578,rollback,planted the token
early_spoiler_005_target_present_concept_absent,early_spoiler,early_spoiler_005,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-4.330733340286331,-91.6761474609375,commit,
early_spoiler_005_concept_absent_target_absent,early_spoiler,early_spoiler_005,concept_absent_target_absent,train,0,0,0,0,-5.683579767338681,-3.044522437723423,-7.583756300707112,-101.20243072509766,commit,
early_spoiler_006_concept_target_present,early_spoiler,early_spoiler_006,concept_target_present,val,1,1,1,1,-5.278114659230517,-1.0986122886681098,-6.214608098422191,59.97300338745117,rollback,opened the archive
early_spoiler_006_concept_present_target_absent,early_spoiler,early_spoiler_006,concept_present_target_absent,val,1,1,1,0,-5.455321115357702,-3.367295829986474,-6.643789733147672,21.3677978515625,rollback,opened the archive
early_spoiler_006_target_present_concept_absent,early_spoiler,early_spoiler_006,target_present_concept_absent,val,0,0,0,1,-2.1972245773362196,-0.0,-5.53338948872752,-79.1318359375,commit,
early_spoiler_006_concept_absent_target_absent,early_spoiler,early_spoiler_006,concept_absent_target_absent,val,0,0,0,0,-5.726847747587197,-3.4011973816621555,-5.968707559985366,-95.10465240478516,commit,
early_spoiler_007_concept_target_present,early_spoiler,early_spoiler_007,concept_target_present,train,1,1,1,1,-5.262690188904886,-2.772588722239781,-7.418780882750794,70.93048858642578,rollback,copied the key
early_spoiler_007_concept_present_target_absent,early_spoiler,early_spoiler_007,concept_present_target_absent,train,1,1,1,0,-5.44673737166631,-4.700480365792417,-7.112327444710911,23.596071243286133,rollback,copied the key
early_spoiler_007_target_present_concept_absent,early_spoiler,early_spoiler_007,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-0.6931471805599453,-75.15001678466797,commit,
early_spoiler_007_concept_absent_target_absent,early_spoiler,early_spoiler_007,concept_absent_target_absent,train,0,0,0,0,-5.71042701737487,-2.995732273553991,-8.157370441186774,-93.58246612548828,commit,
early_spoiler_008_concept_target_present,early_spoiler,early_spoiler_008,concept_target_present,test,1,1,1,1,-5.19295685089021,-3.6109179126442243,-7.186144304522325,82.2125473022461,rollback,switched the scarf
early_spoiler_008_concept_present_target_absent,early_spoiler,early_spoiler_008,concept_present_target_absent,test,1,1,1,0,-5.3706380281276624,-4.77912349311153,-6.84587987526405,34.47503662109375,rollback,switched the scarf
early_spoiler_008_target_present_concept_absent,early_spoiler,early_spoiler_008,target_present_concept_absent,test,0,0,0,1,-2.0794415416798357,-0.0,-2.995732273553991,-83.4087905883789,commit,
early_spoiler_008_concept_absent_target_absent,early_spoiler,early_spoiler_008,concept_absent_target_absent,test,0,0,0,0,-5.713732805509369,-3.1780538303479458,-6.647688373563329,-95.55804443359375,commit,
early_spoiler_009_concept_target_present,early_spoiler,early_spoiler_009,concept_target_present,test,1,1,1,1,-5.241747015059643,-3.1354942159291497,-6.86484777797086,60.9210090637207,rollback,marked the envelope
early_spoiler_009_concept_present_target_absent,early_spoiler,early_spoiler_009,concept_present_target_absent,test,1,1,1,0,-5.407171771460119,-3.8501476017100584,-7.784473235736469,11.653388023376465,rollback,marked the envelope
early_spoiler_009_target_present_concept_absent,early_spoiler,early_spoiler_009,target_present_concept_absent,test,0,0,0,1,-2.0794415416798357,-0.0,-0.0,-82.29301452636719,commit,
early_spoiler_009_concept_absent_target_absent,early_spoiler,early_spoiler_009,concept_absent_target_absent,test,0,0,0,0,-5.69035945432406,-3.6375861597263857,-7.323830566202317,-98.23297882080078,commit,
early_spoiler_010_concept_target_present,early_spoiler,early_spoiler_010,concept_target_present,train,1,1,1,1,-5.236441962829949,-2.8903717578961645,-6.336825731146441,66.8254165649414,rollback,forged the map
early_spoiler_010_concept_present_target_absent,early_spoiler,early_spoiler_010,concept_present_target_absent,train,1,1,1,0,-5.4116460518550396,-4.382026634673881,-7.614312146452,18.50356674194336,rollback,forged the map
early_spoiler_010_target_present_concept_absent,early_spoiler,early_spoiler_010,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-6.769641976852503,-83.72978210449219,commit,
early_spoiler_010_concept_absent_target_absent,early_spoiler,early_spoiler_010,concept_absent_target_absent,train,0,0,0,0,-5.720311776607412,-2.9444389791664403,-6.943122422819428,-103.41495513916016,commit,
early_spoiler_011_concept_target_present,early_spoiler,early_spoiler_011,concept_target_present,train,1,1,0,1,-5.272999558563747,-3.1780538303479458,-5.521460917862246,51.18693161010742,commit,
early_spoiler_011_concept_present_target_absent,early_spoiler,early_spoiler_011,concept_present_target_absent,train,1,1,1,0,-5.4680601411351315,-3.044522437723423,-7.392031567514591,8.27548885345459,rollback,staged the fire
early_spoiler_011_target_present_concept_absent,early_spoiler,early_spoiler_011,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-7.072421900537371,-67.30748748779297,commit,
early_spoiler_011_concept_absent_target_absent,early_spoiler,early_spoiler_011,concept_absent_target_absent,train,0,0,0,0,-5.7430031878094825,-2.995732273553991,-7.123672785204607,-94.3070068359375,commit,
early_spoiler_012_concept_target_present,early_spoiler,early_spoiler_012,concept_target_present,test,1,1,1,1,-5.262690188904886,-3.5263605246161616,-6.16541785423142,69.23436737060547,rollback,moved the compass
early_spoiler_012_concept_present_target_absent,early_spoiler,early_spoiler_012,concept_present_target_absent,test,1,1,1,0,-5.429345628954441,-4.663439094112067,-8.204124932574041,20.010730743408203,rollback,moved the compass
early_spoiler_012_target_present_concept_absent,early_spoiler,early_spoiler_012,target_present_concept_absent,test,0,0,0,1,-2.0794415416798357,-0.0,-4.23410650459726,-71.22846221923828,commit,
early_spoiler_012_concept_absent_target_absent,early_spoiler,early_spoiler_012,concept_absent_target_absent,test,0,0,0,0,-5.713732805509369,-3.367295829986474,-7.887208585813932,-85.78679656982422,commit,
early_spoiler_013_concept_target_present,early_spoiler,early_spoiler_013,concept_target_present,train,1,1,1,1,-5.267858159063328,-2.4849066497880004,-6.699500340161678,78.02271270751953,rollback,replaced the ledger
early_spoiler_013_concept_present_target_absent,early_spoiler,early_spoiler_013,concept_present_target_absent,train,1,1,1,0,-5.44673737166631,-3.9318256327243257,-8.400884069015854,32.31962203979492,rollback,replaced the ledger
early_spoiler_013_target_present_concept_absent,early_spoiler,early_spoiler_013,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-8.289037098278483,-80.00000762939453,commit,
early_spoiler_013_concept_absent_target_absent,early_spoiler,early_spoiler_013,concept_absent_target_absent,train,0,0,0,0,-5.717027701406222,-3.332204510175204,-7.358830898342354,-96.11152648925781,commit,
early_spoiler_014_concept_target_present,early_spoiler,early_spoiler_014,concept_target_present,train,1,1,1,1,-5.267858159063328,-2.995732273553991,-8.508959386489133,56.97748947143555,rollback,erased the message
early_spoiler_014_concept_present_target_absent,early_spoiler,early_spoiler_014,concept_present_target_absent,train,1,1,1,0,-5.407171771460119,-2.772588722239781,-7.915348169263078,15.783699989318848,rollback,erased the message
early_spoiler_014_target_present_concept_absent,early_spoiler,early_spoiler_014,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-1.6094379124341003,-75.89066314697266,commit,
early_spoiler_014_concept_absent_target_absent,early_spoiler,early_spoiler_014,concept_absent_target_absent,train,0,0,0,0,-5.765191102784844,-2.4849066497880004,-7.714677473800927,-98.01740264892578,commit,
early_spoiler_015_concept_target_present,early_spoiler,early_spoiler_015,concept_target_present,val,1,1,1,1,-5.25227342804663,-0.6931471805599453,-6.641182169740591,73.97343444824219,rollback,planted the token
early_spoiler_015_concept_present_target_absent,early_spoiler,early_spoiler_015,concept_present_target_absent,val,1,1,1,0,-5.41610040220442,-2.4849066497880004,-7.241366283322318,26.438552856445312,rollback,planted the token
early_spoiler_015_target_present_concept_absent,early_spoiler,early_spoiler_015,target_present_concept_absent,val,0,0,0,1,-2.1972245773362196,-0.0,-4.330733340286331,-91.67613983154297,commit,
early_spoiler_015_concept_absent_target_absent,early_spoiler,early_spoiler_015,concept_absent_target_absent,val,0,0,0,0,-5.683579767338681,-3.044522437723423,-7.583756300707112,-101.20243072509766,commit,
early_spoiler_016_concept_target_present,early_spoiler,early_spoiler_016,concept_target_present,val,1,1,1,1,-5.278114659230517,-1.0986122886681098,-6.214608098422191,59.97300338745117,rollback,opened the archive
early_spoiler_016_concept_present_target_absent,early_spoiler,early_spoiler_016,concept_present_target_absent,val,1,1,1,0,-5.455321115357702,-3.367295829986474,-6.643789733147672,21.3677978515625,rollback,opened the archive
early_spoiler_016_target_present_concept_absent,early_spoiler,early_spoiler_016,target_present_concept_absent,val,0,0,0,1,-2.1972245773362196,-0.0,-5.53338948872752,-79.1318359375,commit,
early_spoiler_016_concept_absent_target_absent,early_spoiler,early_spoiler_016,concept_absent_target_absent,val,0,0,0,0,-5.726847747587197,-3.4011973816621555,-5.968707559985366,-95.10465240478516,commit,
early_spoiler_017_concept_target_present,early_spoiler,early_spoiler_017,concept_target_present,test,1,1,1,1,-5.262690188904886,-2.772588722239781,-7.418780882750794,70.93049621582031,rollback,copied the key
early_spoiler_017_concept_present_target_absent,early_spoiler,early_spoiler_017,concept_present_target_absent,test,1,1,1,0,-5.44673737166631,-4.700480365792417,-7.112327444710911,23.596065521240234,rollback,copied the key
early_spoiler_017_target_present_concept_absent,early_spoiler,early_spoiler_017,target_present_concept_absent,test,0,0,0,1,-2.1972245773362196,-0.0,-0.6931471805599453,-75.15001678466797,commit,
early_spoiler_017_concept_absent_target_absent,early_spoiler,early_spoiler_017,concept_absent_target_absent,test,0,0,0,0,-5.71042701737487,-2.995732273553991,-8.157370441186774,-93.58247375488281,commit,
early_spoiler_018_concept_target_present,early_spoiler,early_spoiler_018,concept_target_present,train,1,1,1,1,-5.19295685089021,-3.6109179126442243,-7.186144304522325,82.2125473022461,rollback,switched the scarf
early_spoiler_018_concept_present_target_absent,early_spoiler,early_spoiler_018,concept_present_target_absent,train,1,1,1,0,-5.3706380281276624,-4.77912349311153,-6.84587987526405,34.475032806396484,rollback,switched the scarf
early_spoiler_018_target_present_concept_absent,early_spoiler,early_spoiler_018,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-2.995732273553991,-83.4087905883789,commit,
early_spoiler_018_concept_absent_target_absent,early_spoiler,early_spoiler_018,concept_absent_target_absent,train,0,0,0,0,-5.713732805509369,-3.1780538303479458,-6.647688373563329,-95.55805206298828,commit,
early_spoiler_019_concept_target_present,early_spoiler,early_spoiler_019,concept_target_present,val,1,1,1,1,-5.241747015059643,-3.1354942159291497,-6.86484777797086,60.9210090637207,rollback,marked the envelope
early_spoiler_019_concept_present_target_absent,early_spoiler,early_spoiler_019,concept_present_target_absent,val,1,1,1,0,-5.407171771460119,-3.8501476017100584,-7.784473235736469,11.653388023376465,rollback,marked the envelope
early_spoiler_019_target_present_concept_absent,early_spoiler,early_spoiler_019,target_present_concept_absent,val,0,0,0,1,-2.0794415416798357,-0.0,-0.0,-82.29301452636719,commit,
early_spoiler_019_concept_absent_target_absent,early_spoiler,early_spoiler_019,concept_absent_target_absent,val,0,0,0,0,-5.69035945432406,-3.6375861597263857,-7.323830566202317,-98.23297882080078,commit,
early_spoiler_020_concept_target_present,early_spoiler,early_spoiler_020,concept_target_present,val,1,1,1,1,-5.236441962829949,-2.8903717578961645,-6.336825731146441,66.8254165649414,rollback,forged the map
early_spoiler_020_concept_present_target_absent,early_spoiler,early_spoiler_020,concept_present_target_absent,val,1,1,1,0,-5.4116460518550396,-4.382026634673881,-7.614312146452,18.50356674194336,rollback,forged the map
early_spoiler_020_target_present_concept_absent,early_spoiler,early_spoiler_020,target_present_concept_absent,val,0,0,0,1,-2.0794415416798357,-0.0,-6.769641976852503,-83.72978210449219,commit,
early_spoiler_020_concept_absent_target_absent,early_spoiler,early_spoiler_020,concept_absent_target_absent,val,0,0,0,0,-5.720311776607412,-2.9444389791664403,-6.943122422819428,-103.41496276855469,commit,
early_spoiler_021_concept_target_present,early_spoiler,early_spoiler_021,concept_target_present,train,1,1,0,1,-5.272999558563747,-3.1780538303479458,-5.521460917862246,51.18693161010742,commit,
early_spoiler_021_concept_present_target_absent,early_spoiler,early_spoiler_021,concept_present_target_absent,train,1,1,1,0,-5.4680601411351315,-3.044522437723423,-7.392031567514591,8.27548885345459,rollback,staged the fire
early_spoiler_021_target_present_concept_absent,early_spoiler,early_spoiler_021,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-7.072421900537371,-67.30748748779297,commit,
early_spoiler_021_concept_absent_target_absent,early_spoiler,early_spoiler_021,concept_absent_target_absent,train,0,0,0,0,-5.7430031878094825,-2.995732273553991,-7.123672785204607,-94.3070068359375,commit,
early_spoiler_022_concept_target_present,early_spoiler,early_spoiler_022,concept_target_present,test,1,1,1,1,-5.262690188904886,-3.5263605246161616,-6.16541785423142,69.23436737060547,rollback,moved the compass
early_spoiler_022_concept_present_target_absent,early_spoiler,early_spoiler_022,concept_present_target_absent,test,1,1,1,0,-5.429345628954441,-4.663439094112067,-8.204124932574041,20.010730743408203,rollback,moved the compass
early_spoiler_022_target_present_concept_absent,early_spoiler,early_spoiler_022,target_present_concept_absent,test,0,0,0,1,-2.0794415416798357,-0.0,-4.23410650459726,-71.22846221923828,commit,
early_spoiler_022_concept_absent_target_absent,early_spoiler,early_spoiler_022,concept_absent_target_absent,test,0,0,0,0,-5.713732805509369,-3.367295829986474,-7.887208585813932,-85.78679656982422,commit,
early_spoiler_023_concept_target_present,early_spoiler,early_spoiler_023,concept_target_present,train,1,1,1,1,-5.267858159063328,-2.4849066497880004,-6.699500340161678,78.02271270751953,rollback,replaced the ledger
early_spoiler_023_concept_present_target_absent,early_spoiler,early_spoiler_023,concept_present_target_absent,train,1,1,1,0,-5.44673737166631,-3.9318256327243257,-8.400884069015854,32.31962203979492,rollback,replaced the ledger
early_spoiler_023_target_present_concept_absent,early_spoiler,early_spoiler_023,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-8.289037098278483,-80.00000762939453,commit,
early_spoiler_023_concept_absent_target_absent,early_spoiler,early_spoiler_023,concept_absent_target_absent,train,0,0,0,0,-5.717027701406222,-3.332204510175204,-7.358830898342354,-96.11152648925781,commit,
early_spoiler_024_concept_target_present,early_spoiler,early_spoiler_024,concept_target_present,train,1,1,1,1,-5.267858159063328,-2.995732273553991,-8.508959386489133,56.97748947143555,rollback,erased the message
early_spoiler_024_concept_present_target_absent,early_spoiler,early_spoiler_024,concept_present_target_absent,train,1,1,1,0,-5.407171771460119,-2.772588722239781,-7.915348169263078,15.783699989318848,rollback,erased the message
early_spoiler_024_target_present_concept_absent,early_spoiler,early_spoiler_024,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-1.6094379124341003,-75.89066314697266,commit,
early_spoiler_024_concept_absent_target_absent,early_spoiler,early_spoiler_024,concept_absent_target_absent,train,0,0,0,0,-5.765191102784844,-2.4849066497880004,-7.714677473800927,-98.01740264892578,commit,
early_spoiler_025_concept_target_present,early_spoiler,early_spoiler_025,concept_target_present,val,1,1,1,1,-5.25227342804663,-0.6931471805599453,-6.641182169740591,73.97343444824219,rollback,planted the token
early_spoiler_025_concept_present_target_absent,early_spoiler,early_spoiler_025,concept_present_target_absent,val,1,1,1,0,-5.41610040220442,-2.4849066497880004,-7.241366283322318,26.438552856445312,rollback,planted the token
early_spoiler_025_target_present_concept_absent,early_spoiler,early_spoiler_025,target_present_concept_absent,val,0,0,0,1,-2.1972245773362196,-0.0,-4.330733340286331,-91.67613983154297,commit,
early_spoiler_025_concept_absent_target_absent,early_spoiler,early_spoiler_025,concept_absent_target_absent,val,0,0,0,0,-5.683579767338681,-3.044522437723423,-7.583756300707112,-101.20243072509766,commit,
early_spoiler_026_concept_target_present,early_spoiler,early_spoiler_026,concept_target_present,train,1,1,1,1,-5.278114659230517,-1.0986122886681098,-6.214608098422191,59.97300338745117,rollback,opened the archive
early_spoiler_026_concept_present_target_absent,early_spoiler,early_spoiler_026,concept_present_target_absent,train,1,1,1,0,-5.455321115357702,-3.367295829986474,-6.643789733147672,21.367795944213867,rollback,opened the archive
early_spoiler_026_target_present_concept_absent,early_spoiler,early_spoiler_026,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-5.53338948872752,-79.13182830810547,commit,
early_spoiler_026_concept_absent_target_absent,early_spoiler,early_spoiler_026,concept_absent_target_absent,train,0,0,0,0,-5.726847747587197,-3.4011973816621555,-5.968707559985366,-95.10465240478516,commit,
early_spoiler_027_concept_target_present,early_spoiler,early_spoiler_027,concept_target_present,train,1,1,1,1,-5.262690188904886,-2.772588722239781,-7.418780882750794,70.93048858642578,rollback,copied the key
early_spoiler_027_concept_present_target_absent,early_spoiler,early_spoiler_027,concept_present_target_absent,train,1,1,1,0,-5.44673737166631,-4.700480365792417,-7.112327444710911,23.596071243286133,rollback,copied the key
early_spoiler_027_target_present_concept_absent,early_spoiler,early_spoiler_027,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-0.6931471805599453,-75.15001678466797,commit,
early_spoiler_027_concept_absent_target_absent,early_spoiler,early_spoiler_027,concept_absent_target_absent,train,0,0,0,0,-5.71042701737487,-2.995732273553991,-8.157370441186774,-93.58246612548828,commit,
early_spoiler_028_concept_target_present,early_spoiler,early_spoiler_028,concept_target_present,test,1,1,1,1,-5.19295685089021,-3.6109179126442243,-7.186144304522325,82.2125473022461,rollback,switched the scarf
early_spoiler_028_concept_present_target_absent,early_spoiler,early_spoiler_028,concept_present_target_absent,test,1,1,1,0,-5.3706380281276624,-4.77912349311153,-6.84587987526405,34.47503662109375,rollback,switched the scarf
early_spoiler_028_target_present_concept_absent,early_spoiler,early_spoiler_028,target_present_concept_absent,test,0,0,0,1,-2.0794415416798357,-0.0,-2.995732273553991,-83.4087905883789,commit,
early_spoiler_028_concept_absent_target_absent,early_spoiler,early_spoiler_028,concept_absent_target_absent,test,0,0,0,0,-5.713732805509369,-3.1780538303479458,-6.647688373563329,-95.55804443359375,commit,
early_spoiler_029_concept_target_present,early_spoiler,early_spoiler_029,concept_target_present,train,1,1,1,1,-5.241747015059643,-3.1354942159291497,-6.86484777797086,60.9210090637207,rollback,marked the envelope
early_spoiler_029_concept_present_target_absent,early_spoiler,early_spoiler_029,concept_present_target_absent,train,1,1,1,0,-5.407171771460119,-3.8501476017100584,-7.784473235736469,11.653389930725098,rollback,marked the envelope
early_spoiler_029_target_present_concept_absent,early_spoiler,early_spoiler_029,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-0.0,-82.29300689697266,commit,
early_spoiler_029_concept_absent_target_absent,early_spoiler,early_spoiler_029,concept_absent_target_absent,train,0,0,0,0,-5.69035945432406,-3.6375861597263857,-7.323830566202317,-98.23297882080078,commit,
early_spoiler_030_concept_target_present,early_spoiler,early_spoiler_030,concept_target_present,test,1,1,1,1,-5.236441962829949,-2.8903717578961645,-6.336825731146441,66.8254165649414,rollback,forged the map
early_spoiler_030_concept_present_target_absent,early_spoiler,early_spoiler_030,concept_present_target_absent,test,1,1,1,0,-5.4116460518550396,-4.382026634673881,-7.614312146452,18.50356674194336,rollback,forged the map
early_spoiler_030_target_present_concept_absent,early_spoiler,early_spoiler_030,target_present_concept_absent,test,0,0,0,1,-2.0794415416798357,-0.0,-6.769641976852503,-83.72978210449219,commit,
early_spoiler_030_concept_absent_target_absent,early_spoiler,early_spoiler_030,concept_absent_target_absent,test,0,0,0,0,-5.720311776607412,-2.9444389791664403,-6.943122422819428,-103.41496276855469,commit,
early_spoiler_031_concept_target_present,early_spoiler,early_spoiler_031,concept_target_present,test,1,1,0,1,-5.272999558563747,-3.1780538303479458,-5.521460917862246,51.18693161010742,commit,
early_spoiler_031_concept_present_target_absent,early_spoiler,early_spoiler_031,concept_present_target_absent,test,1,1,1,0,-5.4680601411351315,-3.044522437723423,-7.392031567514591,8.275490760803223,rollback,staged the fire
early_spoiler_031_target_present_concept_absent,early_spoiler,early_spoiler_031,target_present_concept_absent,test,0,0,0,1,-2.0794415416798357,-0.0,-7.072421900537371,-67.30750274658203,commit,
early_spoiler_031_concept_absent_target_absent,early_spoiler,early_spoiler_031,concept_absent_target_absent,test,0,0,0,0,-5.7430031878094825,-2.995732273553991,-7.123672785204607,-94.3070068359375,commit,
early_spoiler_032_concept_target_present,early_spoiler,early_spoiler_032,concept_target_present,train,1,1,1,1,-5.262690188904886,-3.5263605246161616,-6.16541785423142,69.23436737060547,rollback,moved the compass
early_spoiler_032_concept_present_target_absent,early_spoiler,early_spoiler_032,concept_present_target_absent,train,1,1,1,0,-5.429345628954441,-4.663439094112067,-8.204124932574041,20.010730743408203,rollback,moved the compass
early_spoiler_032_target_present_concept_absent,early_spoiler,early_spoiler_032,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-4.23410650459726,-71.22844696044922,commit,
early_spoiler_032_concept_absent_target_absent,early_spoiler,early_spoiler_032,concept_absent_target_absent,train,0,0,0,0,-5.713732805509369,-3.367295829986474,-7.887208585813932,-85.78679656982422,commit,
early_spoiler_033_concept_target_present,early_spoiler,early_spoiler_033,concept_target_present,train,1,1,1,1,-5.267858159063328,-2.4849066497880004,-6.699500340161678,78.02271270751953,rollback,replaced the ledger
early_spoiler_033_concept_present_target_absent,early_spoiler,early_spoiler_033,concept_present_target_absent,train,1,1,1,0,-5.44673737166631,-3.9318256327243257,-8.400884069015854,32.31962203979492,rollback,replaced the ledger
early_spoiler_033_target_present_concept_absent,early_spoiler,early_spoiler_033,target_present_concept_absent,train,0,0,0,1,-2.0794415416798357,-0.0,-8.289037098278483,-80.00000762939453,commit,
early_spoiler_033_concept_absent_target_absent,early_spoiler,early_spoiler_033,concept_absent_target_absent,train,0,0,0,0,-5.717027701406222,-3.332204510175204,-7.358830898342354,-96.11152648925781,commit,
early_spoiler_034_concept_target_present,early_spoiler,early_spoiler_034,concept_target_present,train,1,1,1,1,-5.267858159063328,-2.995732273553991,-8.508959386489133,56.97748947143555,rollback,erased the message
early_spoiler_034_concept_present_target_absent,early_spoiler,early_spoiler_034,concept_present_target_absent,train,1,1,1,0,-5.407171771460119,-2.772588722239781,-7.915348169263078,15.783699989318848,rollback,erased the message
early_spoiler_034_target_present_concept_absent,early_spoiler,early_spoiler_034,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-1.6094379124341003,-75.89066314697266,commit,
early_spoiler_034_concept_absent_target_absent,early_spoiler,early_spoiler_034,concept_absent_target_absent,train,0,0,0,0,-5.765191102784844,-2.4849066497880004,-7.714677473800927,-98.01740264892578,commit,
early_spoiler_035_concept_target_present,early_spoiler,early_spoiler_035,concept_target_present,train,1,1,1,1,-5.25227342804663,-0.6931471805599453,-6.641182169740591,73.97343444824219,rollback,planted the token
early_spoiler_035_concept_present_target_absent,early_spoiler,early_spoiler_035,concept_present_target_absent,train,1,1,1,0,-5.41610040220442,-2.4849066497880004,-7.241366283322318,26.438556671142578,rollback,planted the token
early_spoiler_035_target_present_concept_absent,early_spoiler,early_spoiler_035,target_present_concept_absent,train,0,0,0,1,-2.1972245773362196,-0.0,-4.330733340286331,-91.6761474609375,commit,
